2016-02-08 00:00:00,1928
2016-02-08 01:00:00,936
2016-02-08 02:00:00,2103
2016-02-08 03:00:00,2254
2016-02-08 04:00:00,1612
2016-02-08 05:00:00,1875
2016-02-08 06:00:00,1903
2016-02-08 07:00:00,1168
2016-02-08 08:00:00,2022
2016-02-08 09:00:00,2148
2016-02-08 10:00:00,420
2016-02-08 11:00:00,1954
2016-02-08 12:00:00,1975
2016-02-08 13:00:00,502
2016-02-08 14:00:00,1638
2016-02-08 15:00:00,665
2016-02-08 16:00:00,1733
2016-02-08 17:00:00,1874
2016-02-08 18:00:00,1427
2016-02-08 19:00:00,1177
2016-02-08 20:00:00,1495
2016-02-08 21:00:00,745
2016-02-08 22:00:00,1299
2016-02-08 23:00:00,1405
