2017-12-21 19:09:14,080 - Starting Ensemble GBM
[1]	valid_0's l1: 786.753
[2]	valid_0's l1: 752.722
[3]	valid_0's l1: 720.95
[4]	valid_0's l1: 690.859
[5]	valid_0's l1: 664.184
[6]	valid_0's l1: 638.188
[7]	valid_0's l1: 611.121
[8]	valid_0's l1: 588.353
[9]	valid_0's l1: 564.829
[10]	valid_0's l1: 544.317
2017-12-21 19:26:57,666 - Stopping Ensemble GBM
