2017-12-21 19:31:02,395 - Starting Ensemble GBM
[1]	valid_0's l1: 474.978
[2]	valid_0's l1: 453.782
[3]	valid_0's l1: 433.174
[4]	valid_0's l1: 413.699
[5]	valid_0's l1: 394.957
[6]	valid_0's l1: 377.433
[7]	valid_0's l1: 360.858
[8]	valid_0's l1: 344.796
[9]	valid_0's l1: 329.277
[10]	valid_0's l1: 315.003
2017-12-21 19:58:37,130 - Stopping Ensemble GBM
