2017-12-26 18:19:30,308 - Starting Ensemble GBM
2017-12-26 18:19:30,431 - Running ARMA GBM on Test Data
[1]	valid_0's l1: 397.374
[2]	valid_0's l1: 299.932
[3]	valid_0's l1: 236.376
[4]	valid_0's l1: 181.735
[5]	valid_0's l1: 135.71
[6]	valid_0's l1: 98.1879
[7]	valid_0's l1: 93.0178
[8]	valid_0's l1: 97.6574
[9]	valid_0's l1: 98.6546
[10]	valid_0's l1: 100.481
2017-12-26 18:22:18,800 - Stopping Ensemble GBM
