2017-12-26 18:22:20,637 - Starting Ensemble GBM
2017-12-26 18:22:20,750 - Running ARIMA GBM on Test Data
[1]	valid_0's l1: 397.374
[2]	valid_0's l1: 299.829
[3]	valid_0's l1: 235.102
[4]	valid_0's l1: 177.444
[5]	valid_0's l1: 133.754
[6]	valid_0's l1: 97.4683
[7]	valid_0's l1: 97.119
[8]	valid_0's l1: 110.038
[9]	valid_0's l1: 101.933
[10]	valid_0's l1: 110.095
2017-12-26 18:47:45,995 - Stopping Ensemble GBM
