2017-12-23 15:39:56,175 - Starting Ensemble GBM
[1]	valid_0's l1: 475.015
[2]	valid_0's l1: 453.774
[3]	valid_0's l1: 433.511
[4]	valid_0's l1: 414.179
[5]	valid_0's l1: 395.558
[6]	valid_0's l1: 378.366
[7]	valid_0's l1: 361.581
[8]	valid_0's l1: 345.304
[9]	valid_0's l1: 330.035
[10]	valid_0's l1: 315.397
2017-12-23 15:53:05,911 - Stopping Ensemble GBM
