2017-12-21 17:41:48,231 - Starting Ensemble GBM
[1]	valid_0's l1: 721.948
[2]	valid_0's l1: 688.048
[3]	valid_0's l1: 656.223
[4]	valid_0's l1: 626.055
[5]	valid_0's l1: 597.467
[6]	valid_0's l1: 568.734
[7]	valid_0's l1: 542.228
[8]	valid_0's l1: 517.153
[9]	valid_0's l1: 493.509
[10]	valid_0's l1: 472.863
2017-12-21 17:56:21,877 - Stopping Ensemble GBM
