2016-11-14 00:00:00,330
2016-11-14 01:00:00,371
2016-11-14 02:00:00,389
2016-11-14 03:00:00,436
2016-11-14 04:00:00,507
2016-11-14 05:00:00,465
2016-11-14 06:00:00,334
2016-11-14 07:00:00,390
2016-11-14 08:00:00,353
2016-11-14 09:00:00,413
2016-11-14 10:00:00,389
2016-11-14 11:00:00,573
2016-11-14 12:00:00,1013
2016-11-14 13:00:00,908
2016-11-14 14:00:00,1245
2016-11-14 15:00:00,1354
2016-11-14 16:00:00,745
2016-11-14 17:00:00,795
2016-11-14 18:00:00,1330
2016-11-14 19:00:00,1137
2016-11-14 20:00:00,1457
2016-11-14 21:00:00,639
2016-11-14 22:00:00,783
2016-11-14 23:00:00,1482
