2017-12-26 18:13:07,166 - Starting Ensemble GBM
2017-12-26 18:13:07,271 - Running Naive GBM on Test Data
[1]	valid_0's l1: 223.09
[2]	valid_0's l1: 176.16
[3]	valid_0's l1: 145.865
[4]	valid_0's l1: 144.814
[5]	valid_0's l1: 148.358
[6]	valid_0's l1: 146.443
[7]	valid_0's l1: 151.215
[8]	valid_0's l1: 148.069
[9]	valid_0's l1: 152.501
[10]	valid_0's l1: 149.362
2017-12-26 18:13:07,541 - Stopping Ensemble GBM
