2017-12-21 20:02:37,193 - Starting Ensemble GBM
[1]	valid_0's l1: 278.675
[2]	valid_0's l1: 269.838
[3]	valid_0's l1: 259.86
[4]	valid_0's l1: 251.423
[5]	valid_0's l1: 246.602
[6]	valid_0's l1: 240.419
[7]	valid_0's l1: 234.79
[8]	valid_0's l1: 232.449
[9]	valid_0's l1: 228.486
[10]	valid_0's l1: 223.137
2017-12-21 20:18:51,610 - Stopping Ensemble GBM
