2017-12-26 18:27:33,891 - Starting Ensemble GBM
2017-12-26 18:27:34,006 - Running ETS GBM on Test Data
[1]	valid_0's l1: 117.647
[2]	valid_0's l1: 123.371
[3]	valid_0's l1: 126.836
[4]	valid_0's l1: 122.145
[5]	valid_0's l1: 128.142
[6]	valid_0's l1: 122.127
[7]	valid_0's l1: 125.386
[8]	valid_0's l1: 123.954
[9]	valid_0's l1: 119.133
[10]	valid_0's l1: 124.817
2017-12-26 18:32:40,480 - Stopping Ensemble GBM
