2017-12-21 20:03:03,113 - Starting Ensemble GBM
[1]	valid_0's l1: 132.043
[2]	valid_0's l1: 130.97
[3]	valid_0's l1: 129.933
[4]	valid_0's l1: 128.934
[5]	valid_0's l1: 128.496
[6]	valid_0's l1: 127.668
[7]	valid_0's l1: 127.424
[8]	valid_0's l1: 126.771
[9]	valid_0's l1: 125.835
[10]	valid_0's l1: 125.046
2017-12-21 20:14:38,651 - Stopping Ensemble GBM
