,naive,ar,arma,arima,ets,Average,CrossValidation,GA,NaiveBaggingRegression,ArBaggingRegression,ArmaBaggingRegression,ArimaBaggingRegression,EtsBaggingRegression,NaiveGBM,ArGBM,ArmaGBM,ArimaGBM,EtsGBM,esn
cran,48833.95833333333,48286.45833333333,48453.75,46872.08333333333,44651.666666666664,46902.5,48286.45833333333,44971.041666666664,48955.625,47830.20833333333,48316.875,44864.583333333336,48864.375,85516.45833333333,79128.95833333333,79357.08333333333,71722.5,83341.66666666667,43587.083333333336
edgar,69319.58333333333,71403.125,67296.875,62840.83333333333,63646.875,64681.04166666667,69319.58333333333,64970.0,69410.83333333333,76482.70833333333,74368.75,65441.45833333333,62810.41666666667,76437.08333333333,89805.20833333333,81942.5,76178.54166666667,78809.58333333333,62415.0
kyoto,79205.0,77425.625,85562.08333333333,76406.66666666667,80041.45833333333,76969.375,76406.66666666667,79205.0,79235.41666666667,73653.95833333333,70581.875,71570.41666666667,70794.79166666667,53852.70833333333,47632.5,47647.70833333333,50415.625,52118.95833333333,43298.125
total,32893.090277777774,32852.53472222222,33552.118055555555,31019.93055555555,31390.0,31425.486111111113,32335.451388888887,31524.340277777777,32933.645833333336,32994.479166666664,32211.25,30312.74305555555,30411.597222222223,35967.708333333336,36094.444444444445,34824.5486111111,33052.77777777778,35711.70138888888,24883.36805555556
