naive,ar,arma,arima,ets,Average,CrossValidation,GA,NaiveBaggingRegression,ArBaggingRegression,ArmaBaggingRegression,ArimaBaggingRegression,EtsBaggingRegression,NaiveGBM,ArGBM,ArmaGBM,ArimaGBM,EtsGBM,esn
28.9099526066,40.2843601896,35.8609794629,28.4360189573,26.6982622433,32.0695102686,28.9099526066,28.9099526066,28.9099526066,39.336492891,37.2827804107,26.5402843602,21.6429699842,29.541864139,81.2006319115,43.2859399684,43.9178515008,15.4818325434,28.2780410742
-29.6666666667,-18.8888888889,-18.0,-27.4444444444,-27.6666666667,-24.3333333333,-29.6666666667,-29.6666666667,-29.6666666667,-18.3333333333,-17.7777777778,-25.8888888889,-26.5555555556,-32.2222222222,-14.1111111111,-20.3333333333,-29.7777777778,-46.0,-25.0
10.8374384236,18.3497536946,13.0541871921,6.77339901478,7.51231527094,11.3300492611,10.8374384236,10.8374384236,10.8374384236,16.8719211823,14.5320197044,4.67980295567,2.33990147783,16.2561576355,39.4088669951,27.9556650246,15.763546798,7.51231527094,7.14285714286
-7.41163055872,0.798175598632,0.342075256556,-9.46408209806,-6.61345496009,-4.44697833523,-7.41163055872,-7.41163055872,-7.41163055872,0.228050171038,0.114025085519,-7.8677309008,-9.00798175599,-6.49942987457,30.7867730901,11.1744583808,3.87685290764,-16.6476624857,-6.38540478905
0.114155251142,7.19178082192,5.25114155251,-1.25570776256,-0.570776255708,2.16894977169,0.114155251142,0.114155251142,0.114155251142,6.16438356164,5.36529680365,-3.19634703196,-3.76712328767,-1.82648401826,43.3789954338,18.6073059361,7.30593607306,-0.342465753425,-1.94063926941
-7.98319327731,-1.47058823529,-2.62605042017,-8.19327731092,-8.08823529412,-5.67226890756,-7.98319327731,-7.98319327731,-7.98319327731,-2.31092436975,-2.83613445378,-10.5042016807,-10.1890756303,-9.66386554622,31.9327731092,9.13865546218,-1.26050420168,-8.29831932773,-9.03361344538
-24.8025276461,-20.8530805687,-22.2748815166,-26.3823064771,-25.4344391785,-23.9336492891,-24.8025276461,-24.8025276461,-24.8025276461,-21.8009478673,-22.3538704581,-27.8830963665,-28.1990521327,-26.7772511848,-15.7187993681,-7.26698262243,-4.2654028436,-31.990521327,-27.5671406003
-5.02625656414,-4.80120030008,-8.55213803451,-10.7276819205,-7.72693173293,-7.35183795949,-5.02625656414,-5.02625656414,-5.02625656414,-6.90172543136,-8.40210052513,-12.9782445611,-14.4786196549,-11.6279069767,-1.87546886722,-12.0780195049,-12.2280570143,-14.1035258815,-11.9279819955
9.53163516845,8.54560394412,7.14872637634,7.6417419885,8.46343467543,8.29909613804,9.53163516845,9.53163516845,9.53163516845,6.40920295809,5.91618734593,3.04026294166,0.821692686935,-12.4075595727,13.3114215283,-10.7641741988,-17.2555464256,-8.54560394412,2.79375513558
42.5058548009,43.0913348946,44.6135831382,47.4238875878,43.9110070258,44.262295082,42.5058548009,42.5058548009,42.5058548009,40.7494145199,41.5690866511,36.1826697892,39.2271662763,52.8103044496,30.2107728337,46.3700234192,41.9203747073,34.074941452,36.7681498829
