naive,ar,arma,arima,ets,Average,CrossValidation,GA,NaiveBaggingRegression,ArBaggingRegression,ArmaBaggingRegression,ArimaBaggingRegression,EtsBaggingRegression,NaiveGBM,ArGBM,ArmaGBM,ArimaGBM,EtsGBM,esn
12.4678663239,13.3676092545,13.3676092545,3.34190231362,4.88431876607,9.51156812339,13.3676092545,4.11311053985,19.1516709512,15.0385604113,14.7814910026,8.48329048843,17.2236503856,21.8508997429,18.766066838,34.1902313625,2.5706940874,-2.5706940874,8.22622107969
-1.64348925411,0.63211125158,0.505689001264,1.76991150442,-7.58533501896,-1.26422250316,0.63211125158,-2.90771175727,-1.64348925411,0.0,-1.64348925411,-1.76991150442,-1.51706700379,-10.6194690265,-3.53982300885,-3.41340075853,-16.5613147914,-18.5840707965,-1.13780025284
-4.46859903382,-2.4154589372,-2.4154589372,-6.64251207729,-10.9903381643,-5.4347826087,-2.4154589372,-8.81642512077,-4.46859903382,-3.26086956522,-2.77777777778,-2.89855072464,-4.34782608696,-12.8019323671,9.66183574879,-7.72946859903,-20.8937198068,-9.54106280193,-3.98550724638
7.67230169051,9.36280884265,9.36280884265,7.2821846554,3.25097529259,7.4122236671,9.36280884265,5.46163849155,7.67230169051,8.32249674902,8.71261378414,13.3940182055,7.93237971391,6.11183355007,14.1742522757,11.0533159948,14.3042912874,-7.93237971391,5.46163849155
-1.15681233933,1.41388174807,1.2853470437,-1.15681233933,-0.899742930591,-0.12853470437,1.41388174807,-1.02827763496,-1.15681233933,0.642673521851,0.0,12.9820051414,-0.899742930591,-6.42673521851,-1.92802056555,-3.08483290488,-6.16966580977,-17.2236503856,1.2853470437
7.16253443526,9.77961432507,9.77961432507,2.34159779614,6.33608815427,7.02479338843,9.77961432507,4.40771349862,7.16253443526,8.95316804408,9.22865013774,23.9669421488,7.43801652893,-2.61707988981,5.09641873278,5.23415977961,3.85674931129,-11.2947658402,9.5041322314
-17.0285714286,-14.2857142857,-14.2857142857,-17.6,-16.9142857143,-16.0,-14.2857142857,-17.2571428571,-17.0285714286,-14.6285714286,-15.0857142857,2.05714285714,-16.8,-27.4285714286,-22.9714285714,-15.7714285714,-22.5142857143,-26.4,-12.0
3.30578512397,4.25029515939,4.25029515939,2.5974025974,0.236127508855,2.95159386068,4.25029515939,1.41676505313,3.30578512397,3.06965761511,4.7225501771,19.2443919717,3.42384887839,11.9244391972,9.09090909091,23.2585596222,-8.02833530106,7.91027154664,7.43801652893
-16.3869693978,-15.3010858835,-15.3010858835,-8.58835143139,-14.1164856861,-13.9190523198,-15.3010858835,-11.3524185587,-16.3869693978,-16.1895360316,-16.5844027641,-0.888450148075,-16.1895360316,-10.5626850938,-13.3267522211,-12.9318854886,-7.79861796644,-14.2152023692,-10.0691016782
-10.9841827768,-11.5992970123,-11.5992970123,-13.1810193322,-10.5448154657,-11.5992970123,-11.5992970123,-11.8629173989,-10.9841827768,-13.0931458699,-11.8629173989,-2.37258347979,-10.8084358524,-20.2108963093,-5.79964850615,-10.2811950791,-15.6414762742,-5.53602811951,-10.8084358524
