naive,ar,arma,arima,ets,Average,CrossValidation,GA,NaiveBaggingRegression,ArBaggingRegression,ArmaBaggingRegression,ArimaBaggingRegression,EtsBaggingRegression,NaiveGBM,ArGBM,ArmaGBM,ArimaGBM,EtsGBM,esn
0.0,34.6863468635,53.8745387454,33.9483394834,34.3173431734,31.3653136531,33.9483394834,2.21402214022,4.05904059041,26.1992619926,23.6162361624,26.5682656827,26.9372693727,15.1291512915,5.90405904059,5.90405904059,9.59409594096,-6.64206642066,-3.69003690037
0.743494423792,35.687732342,56.1338289963,34.9442379182,35.687732342,32.7137546468,34.9442379182,2.97397769517,0.743494423792,27.1375464684,24.907063197,26.3940520446,26.0223048327,15.9851301115,6.69144981413,6.69144981413,10.4089219331,-5.94795539033,-2.97397769517
5.90551181102,43.7007874016,66.1417322835,42.9133858268,42.9133858268,40.157480315,42.9133858268,8.26771653543,5.90551181102,34.6456692913,31.8897637795,33.8582677165,30.3149606299,14.5669291339,12.9921259843,12.9921259843,16.9291338583,-0.393700787402,2.75590551181
-5.57620817844,36.0594795539,57.9925650558,34.9442379182,34.9442379182,31.5985130112,34.9442379182,-3.34572490706,-5.57620817844,27.1375464684,24.907063197,26.3940520446,23.7918215613,3.71747211896,6.69144981413,6.69144981413,10.4089219331,-5.94795539033,-2.97397769517
0.749063670412,36.7041198502,36.7041198502,35.9550561798,35.9550561798,29.2134831461,35.9550561798,2.62172284644,0.749063670412,28.0898876404,25.8426966292,26.9662921348,25.0936329588,8.98876404494,7.49063670412,7.49063670412,11.2359550562,-5.24344569288,-1.12359550562
2.69230769231,40.3846153846,40.3846153846,39.6153846154,39.2307692308,32.3076923077,39.6153846154,4.61538461538,2.69230769231,31.5384615385,29.2307692308,30.3846153846,27.6923076923,10.7692307692,10.3846153846,10.3846153846,14.2307692308,-2.69230769231,1.92307692308
-70.753655793,-58.942632171,-58.942632171,-59.1676040495,-59.1676040495,-61.4173228346,-59.1676040495,-70.0787401575,-70.753655793,-61.5298087739,-62.3172103487,-61.9797525309,-62.3172103487,-67.3790776153,-67.7165354331,-67.7165354331,-66.5916760405,-71.5410573678,-70.1912260967
232.958801498,32.5842696629,56.1797752809,36.329588015,36.329588015,79.0262172285,36.329588015,222.097378277,232.958801498,24.3445692884,22.0973782772,26.5917602996,46.8164794007,23.9700374532,7.49063670412,7.49063670412,11.2359550562,-5.24344569288,-1.12359550562
2.69230769231,40.7692307692,62.3076923077,40.0,40.3846153846,37.3076923077,40.0,5.0,2.69230769231,31.5384615385,28.4615384615,29.6153846154,32.6923076923,10.7692307692,10.3846153846,10.3846153846,14.2307692308,-2.69230769231,0.384615384615
-2.62172284644,37.0786516854,58.0524344569,36.329588015,29.2134831461,31.4606741573,36.329588015,-0.374531835206,-2.62172284644,28.0898876404,25.468164794,26.5917602996,24.7191011236,8.61423220974,7.49063670412,7.49063670412,11.2359550562,13.1086142322,-2.24719101124
1.90839694656,39.6946564885,62.213740458,38.9312977099,38.9312977099,36.2595419847,38.9312977099,4.19847328244,1.90839694656,30.534351145,27.8625954198,29.7709923664,27.8625954198,9.92366412214,9.54198473282,9.54198473282,13.358778626,-3.43511450382,-0.381679389313
-7.74647887324,28.8732394366,51.0563380282,28.1690140845,28.1690140845,25.7042253521,28.1690140845,-5.28169014085,-7.74647887324,20.4225352113,17.6056338028,19.014084507,17.6056338028,10.2112676056,1.05633802817,1.05633802817,4.57746478873,-10.9154929577,-8.0985915493
-4.3771043771,23.2323232323,44.4444444444,22.5589225589,22.2222222222,21.5488215488,22.5589225589,-2.3569023569,-4.3771043771,15.1515151515,12.4579124579,13.468013468,12.7946127946,4.7138047138,-3.367003367,-3.367003367,0.0,-14.8148148148,-12.1212121212
8.0,33.0909090909,56.7272727273,32.3636363636,25.0909090909,30.9090909091,32.3636363636,9.81818181818,8.0,24.0,21.4545454545,22.5454545455,21.0909090909,8.0,4.36363636364,4.36363636364,8.0,9.81818181818,-5.09090909091
2.99625468165,37.0786516854,62.1722846442,36.329588015,36.329588015,34.8314606742,36.329588015,5.24344569288,2.99625468165,27.7153558052,25.0936329588,26.2172284644,23.9700374532,15.3558052434,7.49063670412,7.49063670412,11.2359550562,-5.24344569288,-2.24719101124
-1.11111111111,35.5555555556,61.1111111111,34.8148148148,34.8148148148,32.962962963,34.8148148148,1.48148148148,-1.11111111111,26.2962962963,23.3333333333,24.8148148148,24.4444444444,6.66666666667,6.2962962963,6.2962962963,10.0,-6.2962962963,-3.33333333333
1.12359550562,37.0786516854,63.670411985,36.329588015,36.329588015,34.8314606742,36.329588015,2.99625468165,1.12359550562,27.34082397,25.0936329588,26.2172284644,22.8464419476,15.3558052434,7.49063670412,7.49063670412,11.2359550562,-5.24344569288,-2.24719101124
-78.7250996016,-70.8366533865,-66.1354581673,-70.9960159363,-70.9960159363,-71.5537848606,-70.9960159363,-78.3266932271,-78.7250996016,-72.9083665339,-73.3864541833,-73.1474103586,-73.9442231076,-77.0517928287,-77.1314741036,-77.1314741036,-76.3346613546,-79.8406374502,-79.203187251
